Question_ID,Category_Code,Priority_Score,Differentiation_Power, User_Familiarity,Theological_Importance,Category_Priority_Rank,Full_Question,Logical_Order_Deep
SAC_09,SAC,6.34,5,2,2,10,Is foot washing an ordinance that the Church should practice?,60
SAC_10,SAC,8.78,5,4,4,5,Who has the proper authority to administer the sacraments (or ordinances) such as Baptism and the Lord's Supper?,61
WOR_01,WOR,6.38,4,2,3,24,What is the guiding principle for how the church should worship?,62
WOR_02,WOR,8.36,5,5,3,6,"Should the church observe a liturgical calendar with seasons such as Advent, Lent, and feast days?",63
WOR_03,WOR,7.58,4,5,3,11,What is the role of liturgy and a formal order of service in worship?,64
WOR_04,WOR,6.8,3,5,3,19,What is the role of routine and ritual in the Christian life?,65
WOR_05,WOR,8.4,4,5,4,5,What is the role of emotion and personal experience in worship and faith?,66
WOR_06,WOR,8.78,5,4,4,3,"Is it appropriate to use physical images, icons, or statues in worship and devotion?",67
WOR_07,WOR,6.74,5,3,2,22,Should musical instruments be used in corporate worship?,68
WOR_08,WOR,10,5,5,5,1,"Are spiritual gifts such as prophecy, speaking in tongues, and healing for today?",69
WOR_09,WOR,6.34,5,2,2,25,Should women wear a head covering during corporate worship?,70
WOR_10,WOR,7.18,4,4,3,14,What is the nature and activity of demons in the world today?,71
WOR_11,WOR,6.78,4,3,3,20,"Can a believer in Christ be demon-possessed, and who has authority to perform exorcism?",72
WOR_12,WOR,7.18,4,4,3,14,What is the nature and role of angels in the Christian life today?,73
WOR_13,WOR,7.18,4,4,3,14,Which statement best describes the role of physical objects or specific prayers in daily spiritual life?,74
WOR_14,WOR,6.78,4,3,3,20,What is the place of contemplative prayer and mystical experience in the Christian life?,75
WOR_15,WOR,7.58,4,5,3,11,"What is the primary structure for ongoing Christian formation and accountability?",76
WOR_16,WOR,8,4,4,4,9,What is the primary purpose of good works in the Christian life?,77
WOR_17,WOR,8.04,3,4,5,8,What is repentance primarily?,78
WOR_18,WOR,7.62,3,5,4,10,What is the primary purpose of prayer?,79
WOR_19,WOR,8.36,5,5,3,6,Which of these best describes your typical personal devotional practice?,80
WOR_20,WOR,8.78,5,4,4,3,What is the nature and significance of Mary?,81
WOR_21,WOR,9.6,5,4,5,2,"What role, if any, do Mary and the departed saints have in the Christian life?",82
WOR_22,WOR,7.18,4,4,3,14,Is the observance of a weekly Sabbath or Lord's Day binding for Christians?,83
WOR_23,WOR,5.98,3,5,2,26,Is the practice of tithing (giving 10% of one's income) a command for Christians?,84
WOR_24,WOR,6.74,5,3,2,22,Are there specific dietary laws that Christians should follow?,85
WOR_25,WOR,7.58,4,5,3,11,What is the significance of the church building itself?,86
WOR_26,WOR,7.18,4,4,3,14,"Is suicide a sin, and does it affect a Christian's salvation?",87
ESC_01,ESC,8.38,5,3,4,5,What is the nature of the millennium described in Revelation 20?,88
ESC_02,ESC,8.78,5,4,4,2,"Will the Church be physically removed from the earth (the ""Rapture"") before the final period of great tribulation?",89
ESC_03,ESC,8.38,5,3,4,5,Will there be a distinct future role for national Israel in God's plan?,90
ESC_04,ESC,6.8,3,5,3,8,"What is the primary sign of the ""end times""?",91
ESC_05,ESC,7.62,3,5,4,7,What is God's primary purpose in allowing Christians to experience suffering?,92
ESC_06,ESC,8.78,5,4,4,2,What happens to believers immediately after death?,93
ESC_07,ESC,10,5,5,5,1,Which statement best describes the nature of final judgment and hell?,94
ESC_08,ESC,8.4,4,5,4,4,What is the nature of the believer's eternal state in Heaven?,95
ETH_01,ETH,8.82,4,4,5,3,What is the primary source for making ethical decisions?,96
ETH_02,ETH,8,4,4,4,6,How should a Christian relate to the surrounding secular culture?,97
ETH_03,ETH,5.58,3,4,2,19,What is the Christian's responsibility toward the natural environment?,98
ETH_04,ETH,8.4,4,5,4,5,What is the church's primary responsibility regarding social justice and the poor?,99
ETH_05,ETH,9.18,5,5,4,1,What is the biblical view on the origins of the universe and humanity?,100
ETH_06,ETH,8.78,5,4,4,4,Is participation in warfare or military service permissible for a Christian?,101
ETH_07,ETH,7.56,5,3,3,9,"Are lifelong, consecrated vows of poverty, chastity, and obedience a valid expression of Christian devotion?",102
ETH_08,ETH,7.18,4,4,3,12,"Is marriage a lifelong, indissoluble covenant that prohibits remarriage after divorce?",103
ETH_09,ETH,9.18,5,5,4,1,What is the church's appropriate stance toward same-sex relationships and sexual ethics?,104
ETH_10,ETH,6.76,4,5,2,15,Is the consumption of alcoholic beverages permissible for Christians?,105
ETH_11,ETH,7.56,5,3,3,9,Is the use of artificial contraception within marriage morally permissible?,106
ETH_12,ETH,6.34,5,2,2,17,Should Christians take oaths?,107
ETH_13,ETH,7.22,3,4,4,11,Which best describes the Christian approach to economic justice?,108
ETH_14,ETH,6.78,4,3,3,13,What is the spiritual status of a Christian's secular work or profession?,109
ETH_15,ETH,7.96,5,4,3,7,What is the expected relationship between a Christian's faithfulness and their material prosperity?,110
ETH_16,ETH,6.76,4,5,2,15,"Should Christians celebrate holidays such as Christmas, Easter, and Halloween?",111
ETH_17,ETH,7.58,4,5,3,8,When is abortion morally permissible?,112
ETH_18,ETH,5.58,3,4,2,19,How should abortion law reflect Christian teaching?,113
ETH_19,ETH,6,3,3,3,18,Is active euthanasia ever morally permissible?,114
ETH_20,ETH,4.82,2,2,3,21,Is stopping treatment different from killing?,115
ETH_00,ETH,6.78,4,3,3,13,"May the state use capital punishment today?",116
MET_01,MET,8.42,4,3,5,4,What is the relationship between faith and reason?,117
MET_02,MET,7.2,4,2,4,7,"To what extent, if at all, can God be known through nature and reason apart from special revelation?",118
MET_03,MET,10,5,5,5,1,How should one approach parts of the Bible that seem to conflict with modern science or history?,119
MET_04,MET,10,5,5,5,1,The Christian life is best understood primarily as...,120
MET_05,MET,7.6,4,3,4,6,How does God work through human history?,121
MET_06,MET,8.4,4,5,4,5,Where is the Christian's primary spiritual focus?,122
MET_07,MET,8.82,4,4,5,3,"Is the ""Kingdom of God"" a future reality, a present spiritual reality, or both?",123
