Family_ID,Family_Name,Founded_Century,Region_Origin,Est_Members_Global,Description
FAM_012,Independent Sacramental & Autocephalous,19th-20th Century,Europe & North America,<1 Million,Churches possessing valid apostolic succession and seven sacraments that sit structurally between Catholicism and Orthodoxy but are independent of papal authority.
FAM_013,Pre-Reformation Dissenters,12th-15th Century,Europe,"<100,000","The earliest sparks of the Reformation, proto-Protestant groups that rejected papal wealth and authority centuries before Martin Luther."
FAM_014,Confessional Lutheranism,16th Century,Germany & Scandinavia,~15 Million,"Strict adherents to the theology of Martin Luther and the Book of Concord, emphasizing justification by faith while maintaining high sacramental views."
FAM_015,Confessional Reformed & Presbyterian,16th Century,Switzerland & Scotland,~30-40 Million,"The strict Calvinist wing of the Reformation, emphasizing the absolute sovereignty of God, covenant theology, and presbyterian or synodal governance."
FAM_016,Anglo-Catholic & High Church,16th-19th Century,England,<5 Million,"Protestants who resisted Calvinist purges during the Reformation, maintaining high liturgy, episcopal authority, and a sacramental ""via media."""
FAM_017,Radical Reformation & Anabaptist,16th Century,Europe,~4 Million,"Movements emphasizing voluntary adult believer's baptism, non-violence, and complete separation of church and state, often practicing cultural separation."
FAM_018,Conservative Baptist & Calvinist,17th Century,England & North America,~40-50 Million,"Traditions emphasizing believer's baptism, congregational autonomy, and often Reformed (Calvinist) soteriology, alongside strict biblical literalism."
FAM_019,Wesleyan & Holiness Movements,18th-19th Century,England & North America,~80 Million,"Evangelical movements originating with John Wesley, defined by Arminian theology (free will), personal sanctification, and active social engagement."
FAM_020,Independent Evangelicalism,20th Century,North America & Global,~100-150 Million,"Modern, non-denominational movements focusing on personal conversion, biblical authority, and contemporary worship, operating independently of historic hierarchies."
FAM_021,Pentecostal & Charismatic,20th Century,North America & Global,~600 Million,Highly dynamic movements emphasizing the direct experience of God through the baptism in the Holy Spirit and supernatural gifts like speaking in tongues.
FAM_022,Oneness Pentecostalism,20th Century,North America,~30 Million,"A distinct movement within Pentecostalism that rejects orthodox Trinitarian theology in favor of a modalistic view of God, requiring baptism in Jesus' name only."
FAM_023,Restorationist (Stone-Campbell),19th Century,North America,~5-7 Million,"Movements seeking to restore primitive first-century Christianity, characterized by strict congregationalism, baptismal regeneration, and often a cappella worship."
FAM_024,Sabbatarian & Adventist Movements,19th Century,North America,~25 Million,Groups defined by an intense focus on the imminent second coming of Christ (eschatology) and the observance of the Saturday Sabbath.
FAM_025,Mainline & Historic Protestantism,16th-18th Century,Europe & North America,~70-90 Million,"The established, formally structured Protestant denominations that have historically embraced a moderate-to-liberal theological and social trajectory."
FAM_026,Progressive Christianity & Universalism,19th-21st Century,North America & Europe,~5-10 Million,"The theological left, prioritizing social justice, rationalism, the deconstruction of historic dogma, and often affirming the eventual salvation of all people."
FAM_027,Unitarian & Hebrew Roots,16th-20th Century,Europe & North America,<3 Million,Movements united by their rejection of historic Christian creeds in favor of returning to a Torah-observant or strictly monotheistic (Nontrinitarian) biblical reading.
FAM_028,Modern Restorationist Movements,19th-20th Century,North America & Global,~25-30 Million,"New Religious Movements using Christian vocabulary but operating with completely unique theology, often featuring exclusive prophets or new scriptures."
FAM_029,High-Church New Movements,19th-20th Century,Europe & North America,~9 Million,"Rare groups that combine high-church liturgy and sacraments with brand new, ongoing apostolic or Marian revelation."
FAM_030,Independent & Liberal Catholicism,19th-20th Century,Europe & Philippines,~2-6 Million,"Groups maintaining Catholic liturgy and vestments but embracing progressive social views, esoteric theosophy, or independence from Rome."
