Answer_ID,Question_ID,Question_Full_Text,Answer,Full_Description,Theological_Label,Theol_Cons_Lib,Social_Cons_Lib,Counter_Pro_Modern,Super_Nat,Cult_Sep_Eng,Cleric_Egal,Div_Hum_Agency,Commun_Indiv,Liturg_Spont,Sacram_Funct,Literal_Crit,Intellect_Exper
SCR_09_A07,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,Human reason and conscience,"The final test of the text's meaning and relevance is the individual's own reason and moral conscience, informed by modern knowledge and experience.",Rationalism,100,N/A,100,100,N/A,100,N/A,100,N/A,N/A,100,0
SAL_03_A01,SAL_03,What is the primary meaning of Christ's death on the cross?,A legal substitution for punishment,"Christ’s death was primarily a sacrifice where He bore the specific legal penalty and divine wrath deserved by humanity, satisfying the demands of justice.",Penal Substitutionary Atonement,0,N/A,40,10,N/A,N/A,0,85,N/A,N/A,0,10
SAL_03_A02,SAL_03,What is the primary meaning of Christ's death on the cross?,A victory over death and evil powers,"Christ’s death and resurrection was primarily a triumph that liberated humanity from bondage to death, the devil, and the powers of evil.",Christus Victor,20,N/A,0,0,N/A,N/A,10,10,N/A,N/A,30,60
SAL_03_A08,SAL_03,What is the primary meaning of Christ's death on the cross?,A restoration of God's offended honor,"Christ’s death was an offering of infinite value that made satisfaction to God for the insult of human sin, restoring the balance of justice and honor.",Satisfaction Theory,10,N/A,30,15,N/A,N/A,20,50,N/A,N/A,20,0
SAL_03_A05,SAL_03,What is the primary meaning of Christ's death on the cross?,A healing and perfection of human nature,"Christ’s death was the climax of His life, where He retraced and ""re-did"" the human experience to heal our nature from within and unite us to God.",Recapitulation Theory,30,N/A,10,25,N/A,N/A,30,0,N/A,N/A,40,70
SAL_03_A06,SAL_03,What is the primary meaning of Christ's death on the cross?,A demonstration to uphold moral order,"Christ’s death was not a direct payment for sins, but a public demonstration of the seriousness of sin intended to maintain the integrity of God’s moral government.",Governmental Theory,50,N/A,50,50,N/A,N/A,60,30,N/A,N/A,50,30
SAL_03_A07,SAL_03,What is the primary meaning of Christ's death on the cross?,A demonstration of love that inspires change,"Christ’s death was primarily a supreme display of God’s love intended to soften the human heart, leading individuals to repentance and moral transformation.",Moral Influence Theory,85,N/A,80,80,N/A,N/A,90,100,N/A,N/A,80,90
SAL_03_A10,SAL_03,What is the primary meaning of Christ's death on the cross?,A symbolic or mythic representation of truth,"Christ’s death is a profound symbol or myth that expresses timeless spiritual truths about sacrifice and renewal, rather than an objective transaction with God.",Symbolic Atonement,100,N/A,100,100,N/A,N/A,100,70,N/A,N/A,100,100
SAL_06_A01,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God actively decrees both who is saved and who is damned,"God's ultimate choice is the direct cause of where everyone ends up; He actively selects certain individuals for salvation and actively selects the rest for damnation, fully determining human choices.",Symmetrical Double Predestination,0,N/A,25,0,N/A,N/A,0,N/A,N/A,N/A,0,N/A
SAL_06_A02,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God elects some to be saved and leaves the rest to their sin,"God chooses certain individuals to be saved and ensures they will believe, but He simply passes over the rest, allowing them to follow their own fallen desires and face the consequences.",Asymmetrical Double Predestination,10,N/A,30,10,N/A,N/A,10,N/A,N/A,N/A,15,N/A
SAL_06_A03,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,"God provides sufficient grace to all, but provides special grace to the elect that guarantees free response","God gives enough grace for anyone to be saved, but He gives a special, highly effective grace to His chosen people that guarantees they will freely and willingly choose to follow Him.",Efficacious Grace,20,N/A,15,20,N/A,N/A,20,N/A,N/A,N/A,40,N/A
SAL_06_A04,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,"God gives faith as a pure gift, but humans can reject it","Salvation is given purely as a gift without any human decision, cooperation, or effort; however, individuals retain the power to actively resist and reject this saving grace.",Resistible Monergism,30,N/A,35,30,N/A,N/A,30,N/A,N/A,N/A,30,N/A
SAL_06_A05,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God initiates salvation; the weakened human will must actively strive to align with it,"The human will, damaged but not destroyed by the fall, retains a natural capacity to respond. Divine grace always initiates and sustains the process, but the individual must exert their own continuous effort to participate in and unite with God's saving action.",Synergism,50,N/A,0,60,N/A,N/A,65,N/A,N/A,N/A,70,N/A
SAL_06_A09,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God restores the will so humans can choose to believe,"People are completely unable to choose God on their own, but God gives a universal grace to everyone that heals the human will just enough so that an individual can make the final choice to believe or reject Him.",Prevenient Grace,40,N/A,45,50,N/A,N/A,50,N/A,N/A,N/A,60,N/A
SAL_06_A08,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,"God provides the Gospel, which humans naturally can accept","Humanity inherently possesses the natural capacity to hear, understand, and believe the Gospel message; no separate, inward ""prevenient grace"" is required before a person can make the choice.",Provisionism,70,N/A,70,85,N/A,N/A,85,N/A,N/A,N/A,85,N/A
SAL_06_A10,SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,God leaves salvation entirely to unassisted human moral effort,Humanity possesses the complete natural autonomy and moral power to live perfectly and choose the good without any absolute need for special divine grace or intervention.,Absolute Human Autonomy,100,N/A,100,100,N/A,N/A,100,N/A,N/A,N/A,100,N/A
SAL_07_A01,SAL_07,How is a person justified before God?,A pure gift requiring no human action or response,"God declares certain people righteous entirely apart from any human response, including faith; human belief is simply waking up to a status God already granted from eternity.",Eternal Justification,0,N/A,60,0,N/A,100,0,100,N/A,100,40,0
SAL_07_A02,SAL_07,How is a person justified before God?,A permanent legal declaration through trusting Christ alone,"God legally declares a person right with Him based solely on their trust in Christ. This standing is a permanent gift that cannot be lost, though genuine trust will naturally lead to a changed life.",Forensic Justification (Eternal Security),10,N/A,40,10,N/A,90,10,90,N/A,95,0,10
SAL_07_A03,SAL_07,How is a person justified before God?,A conditional legal declaration through trusting Christ alone,"God legally declares a person right with Him based solely on their trust in Christ. However, this standing requires ongoing trust and can be lost if a person entirely abandons the faith.",Forensic Justification (Conditional Security),15,N/A,50,60,N/A,80,30,80,N/A,85,10,30
SAL_07_A07,SAL_07,How is a person justified before God?,A declaration enacted at the moment of water baptism,"God forgives and accepts a person by grace through faith, but this specific legal declaration and spiritual cleansing occurs strictly at the moment of water baptism.",Baptismal Justification,40,N/A,20,50,N/A,30,40,40,N/A,20,30,50
SAL_07_A08,SAL_07,How is a person justified before God?,An inward transformation requiring cooperative love and works,"God does not just legally declare a person right, but actually makes them inwardly righteous through grace. This requires lifelong cooperation, where faith must be expressed in love and good works.",Infused Righteousness,20,N/A,10,30,N/A,0,60,20,N/A,0,50,80
SAL_07_A09,SAL_07,How is a person justified before God?,A progressive healing and union with God's life,"Becoming right with God is not primarily a legal transaction, but a lifelong process of healing human nature and participating in God's own life and energies.",Theosis,30,N/A,0,20,N/A,15,70,10,N/A,10,70,100
SAL_07_A10,SAL_07,How is a person justified before God?,A foundational grace completed by strict obedience,"God provides foundational grace and forgiveness, but ultimate acceptance and justification require a person's strict obedience to divine commandments, laws, and ordinances.",Covenantal Nomism,70,N/A,80,80,N/A,60,85,0,N/A,70,85,70
SAL_07_A12,SAL_07,How is a person justified before God?,A status earned through moral behavior and human effort,"A person's ultimate standing is based primarily on their own good deeds, ethical behavior, and moral self-improvement, without a need for supernatural grace.",Moralism,100,N/A,100,100,N/A,100,100,100,N/A,100,100,90
SAL_08_A01,SAL_08,What must a person do to be saved?,"Faith, active love, and participation in the sacraments","Salvation requires faith that cooperates with grace through the church's sacraments, alongside ongoing repentance and good works.",Sacramental Synergy,40,N/A,0,25,N/A,0,70,0,N/A,0,30,60
SAL_08_A02,SAL_08,What must a person do to be saved?,"Faith alone, which is delivered through the sacraments","Salvation requires only faith, but God specifically creates and delivers this saving faith through the external means of preaching, baptism, and communion.",Sacramental Means of Grace,15,N/A,15,10,N/A,30,10,30,N/A,10,40,30
SAL_08_A03,SAL_08,What must a person do to be saved?,"Faith alone, with sacraments acting as confirming seals","Salvation requires only faith; the sacraments do not save, but are commanded by God as visible signs and seals that confirm His promises to the believer.",Covenantal Faith,10,N/A,25,20,N/A,60,20,60,N/A,70,60,0
SAL_08_A09,SAL_08,What must a person do to be saved?,"Faith, repentance, and essential sacred rites","Salvation and ultimate exaltation require faith, repentance, lifelong obedience to God's laws, and participation in specific essential ordinances or temple rites.",Exaltation to Godhood,70,N/A,75,75,N/A,10,95,10,N/A,30,10,80
SAL_08_A04,SAL_08,What must a person do to be saved?,"Faith, repentance, and water baptism","Salvation requires a person to believe, repent of their sins, and be immersed in water baptism, which is the specific moment forgiveness is granted.",Baptismal Regeneration,50,N/A,65,35,N/A,50,50,40,N/A,20,0,50
SAL_08_A06,SAL_08,What must a person do to be saved?,Personal faith and inward repentance alone,"Salvation requires only a personal, inward decision to trust Christ and repent of sin; all rituals, including baptism, are merely symbolic acts of obedience after salvation.",Non-Sacramental Sola Fide,20,N/A,85,45,N/A,90,40,90,N/A,90,50,50
SAL_08_A08,SAL_08,What must a person do to be saved?,Initial faith followed by a life of perseverance,"Salvation requires a person to initially believe and repent, but they must also continually persevere in faith and obedient living to the end of their life to remain saved.",Conditional Security,30,N/A,50,55,N/A,80,60,70,N/A,85,50,70
SAL_08_A05,SAL_08,What must a person do to be saved?,Nothing; salvation is exclusively God's independent action,Human beings do not and cannot do anything to be saved; salvation is entirely a sovereign act of God applied to His people without requiring human conditions or decisions.,Hyper-Calvinism,0,N/A,40,0,N/A,100,0,100,N/A,100,70,10
SAL_08_A11,SAL_08,What must a person do to be saved?,Following the inner divine light,"Salvation is realized by turning inward to listen to and obey the divine light or spirit present within all people, leading to a life of righteous action.",Inner Light,85,N/A,95,90,N/A,100,85,100,N/A,100,85,90
SAL_08_A12,SAL_08,What must a person do to be saved?,Living an ethical and compassionate life,"Salvation is ultimately universal or achieved through moral living; being a loving, ethical person matters more than performing religious rituals or holding specific doctrinal beliefs.",Universal Moralism,100,N/A,100,100,N/A,100,100,100,N/A,100,100,100
SAL_14_A01,SAL_14,Is faith in Jesus Christ the only way to be saved?,"Yes, conscious faith in Christ during this life is strictly required","Salvation is exclusively found through explicit, conscious faith in Jesus Christ before death; no other path or post-mortem opportunity exists.",Strict Exclusivism,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0
SAL_14_A05,SAL_14,Is faith in Jesus Christ the only way to be saved?,"Yes, but those who never hear the Gospel may accept it after death","Explicit faith in Jesus Christ is the absolute requirement for salvation, but God provides an opportunity in the afterlife for those who died without a fair chance to hear and accept the message.",Post-Mortem Evangelization,20,N/A,50,20,20,N/A,N/A,N/A,N/A,N/A,30,30
SAL_14_A02,SAL_14,Is faith in Jesus Christ the only way to be saved?,"Christ is the only Savior, but His grace may reach those who do not know Him","Jesus is the only source of salvation, but God's mercy may mysteriously extend to those who, through no fault of their own, do not explicitly know Christ but sincerely seek God and live according to their conscience.",Inclusivism,40,N/A,60,40,50,N/A,N/A,N/A,N/A,N/A,50,70
SAL_14_A06,SAL_14,Is faith in Jesus Christ the only way to be saved?,"Christ is the only Savior, and He will ultimately save everyone","Jesus is the sole source of salvation, and His redemptive work is so complete that He will eventually draw all human beings to Himself, resulting in the ultimate reconciliation of everyone.",Christian Universalism,60,N/A,30,60,70,N/A,N/A,N/A,N/A,N/A,60,50
SAL_14_A03,SAL_14,Is faith in Jesus Christ the only way to be saved?,"No, Jesus is one of many equally valid paths to God","Jesus Christ is the distinct path for Christians, but other world religions and spiritual traditions provide equally valid, independent paths to God and ultimate salvation.",Religious Pluralism,85,N/A,90,85,90,N/A,N/A,N/A,N/A,N/A,85,90
SAL_14_A04,SAL_14,Is faith in Jesus Christ the only way to be saved?,"Salvation is an inner spiritual awakening, not exclusive to Jesus","Salvation is achieved through spiritual enlightenment, metaphysical understanding, or realizing one's inner divinity, rather than relying on the historical person or work of Jesus.",Metaphysical Salvation,100,N/A,100,100,100,N/A,N/A,N/A,N/A,N/A,100,100
CHR_01_A01,CHR_01,What is the fundamental nature of the Church?,"A visible, global institution and mystical body","The Church is a single, visible, worldwide society that was historically established by Christ and serves as His mystical body on earth.",Institutional Ecclesiology,0,N/A,0,0,90,0,N/A,0,10,10,70,N/A
CHR_01_A02,CHR_01,What is the fundamental nature of the Church?,A communion of sacramental communities,The Church is fundamentally a sacramental and eucharistic communion; it is fully present wherever the local community gathers around the Eucharist in historic succession.,Eucharistic Ecclesiology,10,N/A,10,10,60,20,N/A,10,0,0,80,N/A
CHR_01_A03,CHR_01,What is the fundamental nature of the Church?,The assembly where the Word and Sacraments are pure,The true Church exists wherever the Gospel is purely preached and the holy sacraments are administered according to Christ's institution.,Confessional Ecclesiology,20,N/A,30,40,40,40,N/A,40,30,30,30,N/A
CHR_01_A04,CHR_01,What is the fundamental nature of the Church?,The visible covenant community of God,"The Church is the visible covenant family of God throughout the world, consisting of all those who profess the true religion, together with their children.",Covenantal Ecclesiology,30,N/A,40,70,80,50,N/A,30,40,60,45,N/A
CHR_01_A08,CHR_01,What is the fundamental nature of the Church?,An exclusively restored divine organization,The true Church was lost to apostasy for centuries but has been exclusively restored by God in the modern era with reinstated divine truth and authority.,Restorationism,80,N/A,75,30,0,10,N/A,60,50,50,15,N/A
CHR_01_A05,CHR_01,What is the fundamental nature of the Church?,"A gathered, voluntary community of true believers","The visible Church is fundamentally a gathered community consisting exclusively of individuals who have personally believed, been baptized, and covenanted together.",Believers' Church,50,N/A,60,80,20,75,N/A,80,80,80,0,N/A
CHR_01_A07,CHR_01,What is the fundamental nature of the Church?,A community organized for social justice and healing,"The Church is primarily a prophetic community of Jesus-followers organized to enact social justice, pursue peace, and bring about earthly renewal.",Social Gospel,100,N/A,100,100,100,90,N/A,90,90,100,100,N/A
